edad;estado_civil;educacion;default;Blance_cuenta;Casa_propiedad;Prestamo;Dia_ultimo_contacto;Mes_ultimo_contacto;Duracion_ultimo_contacto;ID_campanna;Dias_campanna_ant;previous;Resultado_campanna_ant;Churn
58;casado;secundaria;0;8332;0;0;17;nov;164;2;96;4;fallido;1
56;divorciado;secundaria;0;689;1;0;17;nov;110;1;103;4;fallido;1
49;divorciado;Universidad;0;2370;1;1;17;nov;56;1;103;2;NA;1
34;soltero;secundaria;0;0;1;0;17;nov;214;1;174;2;fallido;1
32;soltero;secundaria;0;4344;1;0;17;nov;79;2;118;3;fallido;1
54;casado;secundaria;0;472;1;1;17;nov;229;2;150;1;fallido;1
59;divorciado;secundaria;0;514;1;0;17;nov;573;1;188;1;NA;1
59;casado;primaria;0;252;1;1;17;nov;138;1;175;2;fallido;1
40;casado;secundaria;0;0;1;0;17;nov;74;2;196;1;fallido;1
45;casado;secundaria;0;4425;0;0;17;nov;147;1;110;2;fallido;1
43;divorciado;secundaria;0;-36;1;0;17;nov;190;1;104;1;fallido;1
43;casado;secundaria;0;0;0;1;17;nov;103;2;193;3;fallido;1
55;divorciado;Universidad;0;1730;0;0;17;nov;89;2;118;3;fallido;1
49;casado;secundaria;0;202;1;0;17;nov;651;2;104;1;fallido;0
49;casado;Universidad;0;313;1;0;17;nov;42;2;188;2;fallido;1
39;soltero;primaria;0;419;1;0;17;nov;186;1;181;1;fallido;1
42;casado;Universidad;0;14282;1;0;17;nov;77;1;103;4;positivo;1
56;casado;secundaria;0;1270;1;0;17;nov;80;2;165;2;NA;1
44;casado;secundaria;0;4826;1;0;17;nov;102;1;185;4;NA;1
42;casado;secundaria;0;1048;1;0;17;nov;71;1;186;1;fallido;1
41;casado;secundaria;0;112;1;0;17;nov;1081;1;131;1;fallido;1
51;casado;secundaria;0;563;1;0;17;nov;504;1;123;3;fallido;1
36;casado;secundaria;0;1797;1;1;17;nov;166;1;181;2;fallido;1
52;casado;Universidad;0;3440;1;0;17;nov;124;1;131;1;fallido;1
42;casado;Universidad;0;373;0;0;17;nov;174;1;154;3;fallido;1
45;casado;secundaria;0;2020;1;0;17;nov;62;1;131;1;fallido;1
35;casado;secundaria;0;24;1;0;17;nov;128;1;181;1;fallido;1
38;casado;Universidad;0;425;1;0;17;nov;240;1;181;1;fallido;1
47;casado;secundaria;0;80;0;1;17;nov;74;1;145;1;fallido;1
43;casado;secundaria;0;634;1;0;17;nov;65;1;131;1;fallido;1
33;casado;secundaria;0;0;1;0;17;nov;809;3;181;1;NA;1
40;soltero;secundaria;0;677;1;0;17;nov;619;1;171;5;NA;1
42;casado;NA;0;970;1;0;17;nov;725;1;119;10;positivo;1
54;casado;secundaria;0;899;0;1;17;nov;61;1;145;1;NA;1
50;casado;Universidad;0;830;0;0;17;nov;71;1;138;2;fallido;1
54;casado;secundaria;0;2719;1;0;17;nov;166;2;171;2;fallido;1
44;casado;secundaria;0;0;1;0;17;nov;58;1;195;2;fallido;1
43;divorciado;secundaria;0;-259;0;0;17;nov;732;1;171;2;NA;1
51;casado;Universidad;0;248;1;1;17;nov;139;2;126;3;fallido;1
51;casado;secundaria;0;12061;1;0;17;nov;150;1;188;1;fallido;1
42;soltero;secundaria;0;-15;0;0;17;nov;89;1;145;1;fallido;1
46;divorciado;secundaria;0;0;0;0;17;nov;407;1;150;3;positivo;1
50;casado;Universidad;0;4;0;0;17;nov;223;1;96;2;fallido;1
58;divorciado;secundaria;0;3111;1;0;17;nov;111;1;188;2;fallido;1
44;casado;Universidad;0;1451;1;0;17;nov;157;3;150;12;fallido;1
41;casado;primaria;0;557;1;0;17;nov;158;1;173;1;fallido;1
37;soltero;Universidad;0;600;1;0;17;nov;116;2;196;1;fallido;1
53;casado;secundaria;0;350;0;1;17;nov;113;3;132;2;fallido;1
53;casado;secundaria;0;248;0;1;17;nov;99;1;126;3;fallido;1
52;casado;secundaria;0;1818;0;1;17;nov;189;2;111;4;fallido;1
36;divorciado;Universidad;0;3837;1;0;17;nov;184;1;193;1;positivo;1
37;casado;Universidad;0;0;1;0;17;nov;65;2;119;1;fallido;1
44;casado;Universidad;0;58;1;0;17;nov;48;1;126;3;fallido;1
59;divorciado;Universidad;0;3552;1;0;17;nov;690;1;123;7;NA;1
32;casado;secundaria;0;0;1;1;17;nov;159;2;195;2;fallido;1
41;casado;Universidad;0;20;1;0;17;nov;99;1;151;2;fallido;1
37;casado;secundaria;1;-954;1;0;17;nov;69;1;180;3;fallido;1
43;casado;primaria;0;0;0;1;17;nov;836;1;129;2;fallido;1
51;casado;primaria;0;230;1;0;17;nov;174;1;195;1;fallido;1
56;casado;Universidad;0;505;1;1;17;nov;171;1;172;2;fallido;1
44;casado;secundaria;0;3843;1;0;17;nov;70;1;150;2;NA;1
56;soltero;primaria;0;109;0;1;17;nov;124;1;129;18;NA;1
39;casado;Universidad;0;5;1;0;17;nov;118;2;131;1;NA;1
38;casado;secundaria;0;821;1;1;17;nov;224;2;180;1;fallido;1
42;casado;primaria;0;275;0;0;17;nov;295;2;109;9;fallido;1
34;soltero;Universidad;0;1049;1;0;17;nov;101;2;129;1;fallido;1
51;casado;secundaria;0;1414;1;0;17;nov;422;3;186;2;fallido;1
38;casado;primaria;0;0;1;0;17;nov;78;2;193;2;fallido;1
38;soltero;Universidad;0;11971;1;0;17;nov;609;2;101;3;fallido;1
53;casado;Universidad;0;2269;0;0;17;nov;1091;2;150;1;positivo;0
41;casado;secundaria;0;271;1;0;17;nov;148;2;172;2;fallido;1
57;casado;secundaria;0;1158;0;0;17;nov;204;2;109;21;NA;1
48;divorciado;Universidad;0;-478;1;0;17;nov;87;5;167;6;fallido;1
54;casado;Universidad;0;3795;1;1;17;nov;227;2;119;1;fallido;1
55;casado;secundaria;0;653;1;0;17;nov;193;2;186;1;fallido;1
38;soltero;secundaria;0;1255;1;0;17;nov;151;2;171;2;fallido;1
50;divorciado;secundaria;0;-403;0;1;17;nov;130;2;119;2;fallido;1
42;casado;primaria;0;2636;0;0;17;nov;178;2;151;1;fallido;1
40;casado;secundaria;0;1029;1;1;17;nov;117;2;117;3;fallido;1
38;casado;secundaria;0;0;0;0;17;nov;599;2;158;8;NA;1
57;casado;secundaria;0;1502;0;0;17;nov;340;2;109;11;fallido;1
30;soltero;secundaria;0;426;1;0;17;nov;127;4;111;6;fallido;1
56;soltero;secundaria;0;237;1;0;17;nov;117;3;131;4;fallido;1
39;casado;secundaria;0;8;0;1;17;nov;333;2;96;2;fallido;1
43;divorciado;secundaria;0;1043;1;0;17;nov;57;4;119;3;fallido;1
42;casado;secundaria;0;1027;1;0;17;nov;188;2;168;2;fallido;1
44;casado;Universidad;0;724;1;0;17;nov;157;2;172;1;fallido;1
36;casado;secundaria;0;0;1;0;17;nov;273;2;131;1;fallido;1
40;casado;secundaria;0;219;1;0;17;nov;204;2;196;1;fallido;1
48;casado;NA;0;2106;1;0;17;nov;499;2;195;1;fallido;1
43;casado;Universidad;0;2767;1;0;17;nov;374;1;186;7;fallido;1
40;casado;secundaria;0;1269;1;0;17;nov;353;1;172;1;fallido;1
56;casado;secundaria;0;1150;0;1;17;nov;107;1;117;3;fallido;1
37;casado;secundaria;0;5115;1;0;17;nov;1210;2;171;4;fallido;0
56;soltero;Universidad;0;1092;1;1;17;nov;176;3;186;4;fallido;1
37;casado;secundaria;0;121;0;1;17;nov;211;2;151;2;fallido;1
58;divorciado;secundaria;0;644;0;1;17;nov;220;4;109;4;fallido;1
45;casado;secundaria;0;781;0;1;17;nov;652;2;126;2;fallido;0
50;casado;secundaria;0;0;1;0;17;nov;114;4;168;2;fallido;1
46;casado;secundaria;0;4958;1;0;17;nov;64;3;150;5;NA;1
44;divorciado;secundaria;0;106;1;0;17;nov;17;1;175;1;fallido;1
35;divorciado;secundaria;0;204;1;0;17;nov;295;1;186;9;NA;1
40;casado;secundaria;0;755;0;0;17;nov;408;1;117;1;fallido;1
43;casado;Universidad;0;1201;1;1;18;nov;82;1;97;3;fallido;1
40;casado;Universidad;0;3059;1;1;18;nov;41;1;182;1;fallido;1
36;casado;primaria;0;4324;1;0;18;nov;139;4;127;4;fallido;1
44;casado;Universidad;0;756;1;0;18;nov;65;1;130;2;fallido;1
37;casado;secundaria;0;723;1;0;18;nov;119;1;110;2;fallido;1
37;casado;secundaria;0;195;1;0;18;nov;68;1;194;2;fallido;1
41;casado;secundaria;0;3275;1;0;18;nov;121;1;168;1;NA;1
42;casado;Universidad;0;2249;1;0;18;nov;228;1;125;5;fallido;1
53;casado;secundaria;0;137;0;1;18;nov;52;1;176;1;fallido;1
44;casado;secundaria;0;10888;1;0;18;nov;67;1;105;1;fallido;1
41;casado;secundaria;0;4320;1;0;18;nov;164;1;166;2;fallido;1
41;casado;primaria;0;1461;1;0;18;nov;290;1;165;2;positivo;1
45;soltero;NA;0;7108;1;1;18;nov;53;1;172;3;fallido;1
48;casado;secundaria;0;4415;1;0;18;nov;271;1;102;6;fallido;1
58;casado;Universidad;0;9339;1;0;18;nov;52;3;172;3;NA;1
56;casado;secundaria;0;589;1;0;18;nov;208;1;26;3;positivo;1
34;casado;secundaria;0;559;1;0;18;nov;47;1;193;1;NA;1
39;soltero;Universidad;0;283;1;0;18;nov;346;1;179;3;NA;1
36;casado;secundaria;0;154;1;0;18;nov;231;1;96;2;NA;1
47;divorciado;Universidad;0;428;1;0;18;nov;116;1;167;1;NA;1
36;casado;NA;0;722;1;0;18;nov;242;1;182;2;fallido;1
42;soltero;secundaria;0;-247;1;1;18;nov;104;2;28;2;positivo;1
37;casado;secundaria;0;0;1;0;18;nov;173;1;179;6;fallido;1
35;soltero;secundaria;0;5260;1;0;18;nov;59;1;182;2;fallido;1
33;soltero;secundaria;0;1769;1;0;18;nov;273;1;182;1;fallido;1
46;casado;Universidad;0;4301;1;1;18;nov;50;1;183;2;fallido;1
46;casado;secundaria;0;68;1;1;18;nov;111;2;155;3;fallido;1
36;divorciado;secundaria;0;454;1;0;18;nov;165;1;131;1;fallido;1
32;soltero;secundaria;0;53;1;0;18;nov;276;1;195;1;fallido;1
38;soltero;Universidad;0;1515;1;0;18;nov;134;1;110;5;fallido;1
37;soltero;Universidad;0;561;0;0;18;nov;188;1;165;2;fallido;1
59;casado;secundaria;0;2429;0;1;18;nov;79;2;182;7;fallido;1
40;divorciado;secundaria;0;1155;0;1;18;nov;175;1;138;1;fallido;1
59;casado;primaria;0;14;1;1;18;nov;319;2;182;1;fallido;1
36;soltero;Universidad;0;0;0;1;18;nov;300;1;96;4;fallido;1
51;casado;primaria;0;1194;1;0;18;nov;714;1;186;3;fallido;1
45;soltero;secundaria;0;91;0;1;18;nov;149;1;127;2;fallido;1
38;soltero;Universidad;0;427;1;0;18;nov;253;1;182;1;fallido;1
42;casado;secundaria;0;1958;1;0;18;nov;129;1;172;3;fallido;1
30;soltero;Universidad;0;3;1;0;18;nov;54;1;195;1;fallido;1
51;casado;Universidad;0;146;0;0;18;nov;150;2;126;3;fallido;1
37;casado;Universidad;0;3770;1;0;18;nov;106;1;110;4;fallido;1
41;casado;secundaria;0;446;1;0;18;nov;296;1;186;1;positivo;1
33;divorciado;secundaria;0;661;1;0;18;nov;411;1;173;2;NA;1
30;soltero;secundaria;0;4787;1;0;18;nov;266;1;167;2;fallido;1
36;casado;secundaria;0;1345;1;0;18;nov;82;1;172;3;fallido;1
58;casado;Universidad;0;0;1;0;18;nov;265;1;188;1;fallido;1
42;casado;primaria;0;2273;1;0;18;nov;253;1;112;2;fallido;1
41;casado;secundaria;0;1100;1;0;18;nov;397;1;173;2;fallido;1
43;casado;secundaria;0;764;1;0;18;nov;164;5;127;5;fallido;1
34;soltero;Universidad;0;1494;1;0;18;nov;596;1;182;1;NA;0
48;casado;secundaria;0;2877;1;0;18;nov;77;1;168;1;fallido;1
30;soltero;secundaria;1;-305;0;1;18;nov;37;1;96;6;fallido;1
31;casado;Universidad;0;26;0;1;18;nov;419;1;127;6;NA;0
43;soltero;secundaria;1;685;1;0;18;nov;78;1;110;2;fallido;1
34;soltero;secundaria;0;10;0;1;18;nov;162;1;173;3;fallido;1
35;casado;Universidad;0;1041;0;0;18;nov;586;1;120;3;NA;1
36;soltero;secundaria;0;1927;1;0;18;nov;288;1;137;1;NA;1
44;casado;primaria;0;1880;1;0;18;nov;34;1;124;6;fallido;1
45;divorciado;secundaria;0;5862;1;0;18;nov;352;1;110;3;NA;1
36;casado;Universidad;0;0;1;0;18;nov;103;1;175;2;fallido;1
33;casado;secundaria;0;596;1;0;18;nov;77;1;127;3;fallido;1
47;casado;secundaria;0;829;1;1;18;nov;48;1;188;1;fallido;1
47;casado;secundaria;0;3237;1;0;18;nov;38;1;187;3;fallido;1
35;casado;secundaria;0;222;1;0;18;nov;233;1;190;6;fallido;1
39;casado;secundaria;0;3732;1;0;18;nov;515;1;181;2;fallido;1
39;casado;Universidad;0;585;1;0;18;nov;48;1;181;3;fallido;1
31;soltero;secundaria;0;2038;1;0;18;nov;239;1;182;1;fallido;1
37;soltero;Universidad;0;1316;1;0;18;nov;389;1;172;2;fallido;1
50;casado;secundaria;0;-353;1;1;18;nov;162;1;175;2;fallido;1
39;divorciado;Universidad;0;5009;1;0;18;nov;255;1;126;2;fallido;1
56;divorciado;secundaria;0;0;0;0;18;nov;100;1;154;2;fallido;1
30;divorciado;secundaria;0;83;1;1;18;nov;118;2;196;1;fallido;1
53;casado;NA;0;19850;0;0;18;nov;52;1;165;1;fallido;1
45;casado;primaria;0;147;1;0;18;nov;226;1;168;2;fallido;1
33;casado;secundaria;0;157;1;0;18;nov;110;1;182;1;fallido;1
45;casado;secundaria;0;3395;1;0;18;nov;92;1;188;1;fallido;1
39;casado;primaria;0;694;1;1;18;nov;91;1;168;2;NA;1
37;soltero;secundaria;0;690;1;0;18;nov;105;1;179;2;fallido;1
37;soltero;secundaria;0;54;1;0;18;nov;328;2;131;1;fallido;1
33;soltero;Universidad;0;179;1;0;18;nov;432;2;181;4;NA;1
40;soltero;secundaria;0;326;1;0;18;nov;124;1;175;1;fallido;1
45;casado;secundaria;0;1441;1;0;18;nov;93;1;113;2;NA;1
39;casado;secundaria;0;484;0;1;18;nov;61;1;113;3;NA;1
38;casado;secundaria;0;-288;1;1;18;nov;68;1;165;2;fallido;1
41;casado;secundaria;0;2123;0;0;18;nov;232;1;102;2;fallido;1
44;casado;secundaria;0;1901;0;0;18;nov;143;3;104;2;fallido;1
41;casado;secundaria;0;1954;0;0;18;nov;65;1;110;2;positivo;1
45;soltero;Universidad;0;16;0;0;18;nov;100;1;110;2;fallido;1
45;casado;secundaria;0;1678;1;0;18;nov;187;1;154;1;fallido;1
34;divorciado;Universidad;0;5754;1;0;18;nov;32;1;181;1;fallido;1
52;divorciado;secundaria;0;2717;0;0;18;nov;114;1;162;2;fallido;1
43;soltero;primaria;0;103;1;0;18;nov;53;1;183;5;fallido;1
37;casado;primaria;0;5427;0;0;18;nov;201;1;159;1;fallido;1
37;soltero;Universidad;0;1743;1;0;18;nov;192;1;113;2;fallido;1
48;casado;primaria;0;1092;0;1;18;nov;79;1;172;8;fallido;1
35;casado;Universidad;0;4943;1;0;18;nov;295;1;124;2;fallido;1
42;casado;Universidad;0;2110;0;1;18;nov;67;1;110;2;fallido;1
34;casado;Universidad;0;63;0;0;18;nov;83;1;102;2;fallido;1
32;soltero;secundaria;0;118;1;0;18;nov;216;1;124;1;positivo;1
50;soltero;Universidad;0;21;1;0;18;nov;157;1;188;1;fallido;1
30;casado;Universidad;0;900;0;0;18;nov;123;1;124;2;fallido;1
32;casado;secundaria;0;1785;1;0;18;nov;51;2;154;6;NA;1
55;casado;secundaria;0;3546;1;1;18;nov;588;1;110;2;fallido;1
32;casado;Universidad;0;1667;1;0;18;nov;164;2;179;3;fallido;1
32;soltero;secundaria;0;2251;1;1;18;nov;131;1;124;1;fallido;1
31;soltero;secundaria;0;2076;0;1;18;nov;178;1;127;7;NA;1
46;soltero;primaria;0;3046;1;1;18;nov;84;1;183;1;NA;1
44;casado;secundaria;0;533;1;0;18;nov;127;1;110;2;fallido;1
36;casado;secundaria;0;2894;1;0;18;nov;91;1;124;1;fallido;1
34;casado;Universidad;0;11;1;0;18;nov;123;1;124;1;fallido;1
32;casado;Universidad;0;3107;1;1;18;nov;165;2;116;1;fallido;1
48;casado;secundaria;0;3008;1;1;18;nov;163;1;187;3;fallido;1
48;soltero;Universidad;0;648;1;0;18;nov;290;1;110;2;fallido;1
39;casado;secundaria;0;173;1;0;18;nov;96;2;182;2;fallido;1
47;soltero;secundaria;0;19;1;1;18;nov;90;2;123;1;fallido;1
52;casado;Universidad;0;297;1;0;18;nov;62;2;195;1;fallido;1
59;divorciado;secundaria;0;797;1;0;18;nov;319;2;165;2;fallido;1
36;soltero;secundaria;0;1482;1;0;18;nov;177;2;174;1;NA;1
38;casado;Universidad;0;678;0;1;18;nov;82;2;152;1;fallido;1
39;casado;NA;0;10189;1;0;18;nov;186;2;123;2;fallido;1
54;casado;secundaria;0;506;1;0;18;nov;172;2;104;2;fallido;1
51;casado;Universidad;0;-516;1;0;18;nov;120;2;187;2;fallido;1
44;soltero;Universidad;0;1356;0;1;18;nov;264;2;134;2;NA;1
47;casado;primaria;0;1533;0;1;18;nov;273;2;96;4;fallido;1
34;casado;primaria;0;500;1;0;18;nov;240;2;182;1;fallido;1
54;casado;secundaria;0;3729;0;1;18;nov;597;2;116;1;NA;1
30;casado;secundaria;0;246;1;0;18;nov;166;2;113;5;fallido;1
43;soltero;Universidad;0;-56;1;0;18;nov;146;2;151;14;fallido;1
52;casado;secundaria;0;2257;1;0;18;nov;102;2;188;1;fallido;1
36;casado;secundaria;0;402;0;1;18;nov;86;2;154;1;fallido;1
39;casado;secundaria;0;517;1;0;18;nov;387;3;196;2;fallido;1
32;soltero;Universidad;0;0;1;0;18;nov;244;2;168;1;NA;1
46;casado;Universidad;0;0;0;0;18;nov;716;2;110;3;NA;0
45;soltero;Universidad;0;5694;1;0;18;nov;145;2;193;2;fallido;1
54;casado;Universidad;0;368;0;0;18;nov;74;2;110;4;fallido;1
41;casado;secundaria;0;-1882;1;0;18;nov;17;5;151;2;NA;1
36;soltero;secundaria;0;296;0;0;18;nov;67;2;111;2;fallido;1
38;casado;secundaria;0;508;1;0;18;nov;722;3;175;2;fallido;1
36;soltero;primaria;0;2169;1;0;18;nov;133;2;110;3;NA;1
44;casado;secundaria;0;2626;1;0;18;nov;170;2;188;3;fallido;1
59;casado;primaria;0;124;1;0;18;nov;531;3;134;7;fallido;1
36;casado;Universidad;0;521;0;1;18;nov;135;2;152;1;NA;1
40;soltero;secundaria;0;2854;1;0;18;nov;354;2;169;1;fallido;1
30;divorciado;secundaria;0;0;1;1;18;nov;174;2;111;3;fallido;1
34;casado;secundaria;0;932;0;1;18;nov;148;2;132;1;NA;1
42;soltero;Universidad;0;1113;1;1;18;nov;89;2;162;12;fallido;1
33;casado;Universidad;0;1522;1;0;18;nov;171;2;179;3;fallido;1
44;casado;secundaria;0;-236;1;0;18;nov;218;2;113;7;positivo;1
36;soltero;Universidad;0;3560;0;0;18;nov;658;3;169;2;fallido;1
42;divorciado;secundaria;0;898;1;0;18;nov;136;2;131;1;fallido;1
36;divorciado;secundaria;0;556;1;0;18;nov;154;3;189;1;fallido;1
53;casado;secundaria;0;1066;1;0;18;nov;110;1;186;3;fallido;1
38;casado;secundaria;0;728;1;0;18;nov;286;1;181;2;NA;1
52;casado;Universidad;0;5350;1;1;18;nov;68;2;110;4;positivo;1
40;casado;secundaria;0;7313;1;0;18;nov;241;2;182;1;fallido;1
30;soltero;Universidad;0;0;1;0;18;nov;342;2;174;1;fallido;1
45;casado;secundaria;0;1550;1;0;18;nov;143;2;166;6;fallido;1
38;casado;secundaria;0;4392;0;0;18;nov;23;2;110;2;fallido;1
47;divorciado;primaria;0;1095;1;0;18;nov;171;1;110;2;NA;1
33;casado;secundaria;0;328;1;0;18;nov;160;2;182;1;fallido;1
41;divorciado;primaria;0;22;1;0;18;nov;238;3;126;4;NA;1
51;casado;Universidad;0;1612;1;0;18;nov;61;2;131;1;fallido;1
33;casado;Universidad;0;17455;1;1;18;nov;168;3;179;4;fallido;1
32;casado;secundaria;0;491;1;0;18;nov;131;3;194;2;fallido;1
47;casado;secundaria;0;826;1;0;18;nov;195;3;112;8;NA;1
32;casado;secundaria;0;3839;1;0;18;nov;100;2;189;1;fallido;1
51;divorciado;Universidad;0;1937;1;0;18;nov;185;4;152;11;NA;1
40;soltero;secundaria;0;9916;0;0;18;nov;411;3;8;1;fallido;1
56;casado;secundaria;0;728;0;0;18;nov;163;2;110;15;fallido;1
32;casado;secundaria;0;6217;1;1;18;nov;486;2;181;2;fallido;1
41;casado;secundaria;0;1327;1;1;18;nov;425;2;176;2;fallido;1
36;casado;secundaria;0;-179;1;0;18;nov;476;2;124;1;fallido;1
46;casado;secundaria;0;942;0;0;18;nov;240;3;119;2;fallido;1
34;casado;secundaria;0;3990;1;0;18;nov;591;2;117;7;fallido;1
34;soltero;Universidad;0;2047;1;0;18;nov;72;2;113;5;fallido;1
44;divorciado;secundaria;0;-184;1;0;18;nov;825;2;154;3;NA;1
30;casado;Universidad;0;1185;1;0;18;nov;342;2;120;4;fallido;1
30;soltero;secundaria;0;2802;0;1;18;nov;285;2;137;2;fallido;1
43;casado;secundaria;0;508;1;0;18;nov;200;1;172;1;fallido;1
51;soltero;Universidad;0;6030;1;0;18;nov;157;2;110;3;fallido;1
45;divorciado;secundaria;0;-14;0;0;18;nov;39;2;127;3;fallido;1
46;divorciado;Universidad;0;6269;1;0;18;nov;249;3;112;2;fallido;1
30;casado;secundaria;0;1131;1;1;18;nov;189;1;144;5;fallido;1
40;divorciado;secundaria;0;399;1;1;18;nov;166;3;96;2;fallido;1
46;divorciado;secundaria;0;864;1;0;18;nov;105;5;188;2;fallido;1
49;casado;Universidad;0;202;1;0;18;nov;139;1;166;3;NA;1
31;soltero;Universidad;0;3142;1;0;18;nov;235;1;123;1;fallido;1
53;casado;secundaria;0;1139;1;0;18;nov;180;1;186;6;fallido;1
48;casado;primaria;0;214;1;1;18;nov;246;1;162;1;fallido;1
34;casado;secundaria;0;1412;1;1;18;nov;149;1;175;2;fallido;1
35;casado;secundaria;0;2019;1;1;18;nov;83;2;144;1;fallido;1
52;casado;Universidad;0;1295;1;0;18;nov;121;1;123;1;NA;1
31;casado;Universidad;0;1164;1;1;18;nov;141;2;123;3;fallido;1
36;casado;Universidad;0;369;0;0;18;nov;193;4;102;2;fallido;1
45;casado;secundaria;0;17;1;0;18;nov;66;1;152;14;fallido;1
31;casado;secundaria;0;355;1;0;18;nov;530;1;193;1;fallido;1
35;casado;secundaria;0;66;1;0;18;nov;110;1;123;1;NA;1
51;casado;primaria;0;106;1;0;18;nov;366;3;110;2;fallido;1
56;casado;Universidad;0;839;0;1;18;nov;630;1;187;2;NA;1
43;casado;secundaria;0;481;1;0;18;nov;164;1;110;2;NA;1
30;casado;secundaria;0;-306;1;1;18;nov;372;1;186;1;fallido;1
44;casado;secundaria;0;1106;1;0;19;nov;178;5;119;11;fallido;1
41;casado;Universidad;0;171;1;0;19;nov;209;1;191;4;fallido;1
58;casado;Universidad;0;8014;1;0;19;nov;697;2;184;3;fallido;1
55;divorciado;secundaria;0;4053;0;0;19;nov;113;1;166;2;fallido;1
32;soltero;Universidad;0;1583;1;0;19;nov;100;1;182;1;fallido;1
42;casado;Universidad;0;412;1;0;19;nov;142;4;169;5;fallido;1
30;casado;Universidad;0;314;0;0;19;nov;364;2;175;2;positivo;1
37;casado;secundaria;0;7957;0;0;19;nov;706;1;111;2;fallido;1
39;soltero;secundaria;0;4278;1;0;19;nov;43;1;111;2;NA;1
