ID;Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;anno_nacimiento;Generación ;Ingresos anuales brutos;Provincia;Digital_encuenta_index
CLI140;F;No;32;No;Negocios/empresa;10-20años;Bajo;4;1992;Millennial;18393;Málaga;1.537
CLI141;F;Si;41;Si;Artista;10-20años;Bajo;4;1983;Millennial;26460;León;1.054
CLI142;F;Si;43;Si;Ingeniero/Técnicos;+20años;Medio;2;1981;Millennial;22281;Huelva;1.721
CLI143;F;Si;53;Si;Artista;+20años;Medio;5;1971;Generación X;113361;Orense;0.71995
CLI144;F;No;35;Si;Médico;10-20años;Bajo;3;1989;Millennial;25568;Navarra;1.583
CLI145;M;Si;86;No;Servicios;+20años;Bajo;1;1938;Baby Boomer;70379;La Rioja;915
CLI146;F;Si;47;No;Ingeniero/Técnicos;+20años;Medio;5;1977;Generación X;21950;Las Palmas;0.56355
CLI147;M;No;32;No;Negocios/empresa;10-20años;Bajo;5;1992;Millennial;28472;Huesca;1.744
CLI148;F;Si;31;No;Ingeniero/Técnicos;<10años;Medio;2;1993;Millennial;22265;Gerona;1.951
CLI149;M;Si;88;Si;Servicios;+20años;Bajo;1;1936;Baby Boomer;124934;Cuenca;0.83725
CLI150;F;No;31;Si;Funcionario;<10años;Bajo;4;1993;Millennial;19619;Almería;1.376
CLI151;M;Si;78;Si;Artista;+20años;Medio;3;1946;Baby Boomer;87130;Melilla;896
CLI152;M;Si;74;No;Servicios;+20años;Alto;9;1950;Baby Boomer;72312;Soria;1.091
CLI153;F;No;29;No;Ingeniero/Técnicos;<10años;Bajo;1;1995;Millennial;30607;Melilla;2.961
CLI154;F;Si;52;Si;Ingeniero/Técnicos;+20años;Medio;2;1972;Generación X;66892;Gerona;1.306
CLI155;F;Si;47;Si;Artista;+20años;Medio;2;1977;Generación X;84769;Toledo;1.717
CLI156;F;No;30;Si;Funcionario;<10años;Bajo;4;1994;Millennial;18748;Pontevedra;1.698
CLI157;F;Si;50;Si;Negocios/empresa;+20años;Bajo;4;1974;Generación X;63734;Granada;1.580
CLI158;M;Si;84;No;Ejecutivo;+20años;Bajo;1;1940;Baby Boomer;53698;Salamanca;974
CLI159;F;Si;47;Si;Artista;+20años;Medio;4;1977;Generación X;21366;Ciudad Real;1.502
CLI160;F;Si;86;Si;Servicios;+20años;Alto;2;1938;Baby Boomer;44132;Lugo;0.56355
CLI161;M;Si;39;Si;Artista;10-20años;Medio;3;1985;Millennial;28417;Ciudad Real;2.066
CLI162;F;No;54;Si;Artista;+20años;Bajo;1;1970;Generación X;124487;Lérida;876
CLI163;F;No;28;Si;Funcionario;<10años;Bajo;5;1996;Millennial;18643;Badajoz;1.995
CLI164;M;Si;41;No;Ejecutivo;10-20años;Medio;5;1983;Millennial;44300;León;1.491
CLI165;F;No;35;No;Funcionario;10-20años;Bajo;5;1989;Millennial;20220;Salamanca;1.261
CLI166;M;Si;66;Si;Médico;+20años;Medio;2;1958;Baby Boomer;49821;Lérida;1.404
CLI167;F;Si;50;Si;Artista;+20años;Medio;3;1974;Generación X;22711;Palencia;1.561
CLI168;F;Si;54;Si;Construcción;+20años;Medio;3;1970;Generación X;53234;Guipúzcoa;0.56355
CLI169;M;No;35;Si;Artista;10-20años;Bajo;5;1989;Millennial;19156;Madrid;1.583
CLI170;F;Si;44;Si;Artista;+20años;Bajo;3;1980;Generación X;22265;Orense;1.169
CLI171;M;Si;65;No;Artista;+20años;Medio;2;1959;Baby Boomer;22607;Cuenca;1.346
CLI172;M;Si;53;Si;Artista;+20años;Bajo;5;1971;Generación X;37965;Granada;0.71995
CLI173;M;Si;90;Si;Ejecutivo;+20años;Alto;2;1934;Baby Boomer;62419;Valladolid;1.170
CLI174;F;Si;77;Si;Servicios;+20años;Bajo;2;1947;Generación Silenciosa;29465;Valladolid;1.228
CLI175;M;No;34;Si;Artista;10-20años;Bajo;2;1990;Millennial;18697;Zamora;1.353
CLI176;F;Si;79;Si;Servicios;+20años;Alto;2;1945;Baby Boomer;62399;Almería;1.737
CLI177;M;Si;55;Si;Artista;+20años;Medio;4;1969;Generación X;86180;Valencia;0.7395
CLI178;F;No;25;No;Ingeniero/Técnicos;<10años;Bajo;1;1999;Millennial;28548;Lugo;2.306
CLI179;F;No;22;No;Funcionario;<10años;Bajo;6;2002;Millennial;19365;Salamanca;3.099
CLI180;F;No;24;No;Funcionario;<10años;Bajo;3;2000;Millennial;21141;Jaén;2.168
CLI181;F;No;34;Si;Ingeniero/Técnicos;10-20años;Bajo;1;1990;Millennial;27658;Las Palmas;0.755
CLI182;F;Si;40;Si;Artista;10-20años;Medio;2;1984;Millennial;34364;Albacete;0.778
CLI183;M;Si;57;No;Otros;+20años;Medio;5;1967;Generación X;120574;Granada;1.678
CLI184;F;No;32;Si;Artista;10-20años;Bajo;1;1992;Millennial;21687;Las Palmas;0.732
CLI185;M;Si;44;Si;Artista;+20años;Medio;4;1980;Generación X;116326;Salamanca;1.1
CLI186;F;No;44;Si;Artista;+20años;Bajo;1;1980;Generación X;90572;Las Palmas;1.675
CLI187;M;Si;42;Si;Artista;+20años;Bajo;2;1982;Millennial;21506;Jaén;1.307
CLI188;F;Si;94;No;Servicios;+20años;Bajo;1;1930;Baby Boomer;67106;Pontevedra;0.935
CLI189;F;No;23;No;Médico;<10años;Bajo;3;2001;Millennial;13284;Alicante;2.754
CLI190;F;Si;45;No;Ingeniero/Técnicos;+20años;Medio;2;1979;Generación X;79451;Sevilla;1.008
CLI191;M;Si;44;Si;Artista;+20años;Bajo;2;1980;Generación X;123254;Alicante;1.146
CLI192;M;Si;58;Si;Artista;+20años;Medio;3;1966;Generación X;94980;Córdoba;1.287
CLI193;F;Si;46;Si;Artista;+20años;Bajo;2;1978;Generación X;25715;Gerona;15.215
CLI194;M;Si;46;No;Ejecutivo;+20años;Bajo;2;1978;Generación X;76575;Toledo;1.306
CLI195;M;Si;53;Si;Artista;+20años;Medio;4;1971;Generación X;78640;Valencia;1.052
CLI196;M;Si;65;Si;Artista;+20años;Bajo;2;1959;Baby Boomer;52301;Córdoba;1.737
CLI197;M;Si;45;Si;Ejecutivo;+20años;Medio;3;1979;Generación X;118305;Córdoba;1.744
CLI198;F;Si;34;Si;Artista;10-20años;Medio;2;1990;Millennial;30375;Teruel;1.514
CLI199;F;Si;54;Si;Artista;+20años;Alto;5;1970;Generación X;111245;Murcia;1.678
CLI200;M;Si;74;Si;Ejecutivo;+20años;Bajo;2;1950;Baby Boomer;112983;Toledo;0.75905
CLI201;M;Si;39;No;Artista;10-20años;Medio;2;1985;Millennial;23791;Ciudad Real;0.939
CLI202;F;No;29;Si;Funcionario;<10años;Bajo;3;1995;Millennial;21493;Gerona;1.685
CLI203;M;;21;No;Funcionario;<10años;Bajo;3;2003;Millennial;18379;Orense;1.788
CLI204;F;Si;28;No;Ingeniero/Técnicos;<10años;Medio;8;1996;Millennial;24677;La Coruña;1.788
CLI205;F;Si;43;Si;Funcionario;+20años;Bajo;2;1981;Millennial;119370;Valladolid;1.491
CLI206;M;Si;69;Si;Otros;+20años;Bajo;2;1955;Baby Boomer;67990;Zaragoza;1.091
CLI207;M;No;25;No;Funcionario;<10años;Bajo;3;1999;Millennial;25792;Lérida;2.306
CLI208;F;No;25;No;Funcionario;<10años;Bajo;3;1999;Millennial;25123;Vizcaya;2.306
CLI209;F;Si;58;Si;Artista;+20años;Bajo;1;1966;Generación X;75114;Valencia;0.7004
CLI210;M;No;36;Si;Médico;10-20años;Bajo;2;1988;Millennial;22309;Granada;0.801
CLI211;F;Si;55;No;Ingeniero/Técnicos;+20años;Medio;4;1969;Generación X;42798;Ceuta;0.8177
CLI212;F;Si;76;Si;Ingeniero/Técnicos;+20años;Bajo;2;1948;Baby Boomer;116292;La Coruña;1.033
CLI213;M;No;41;Si;Artista;10-20años;Bajo;1;1983;Millennial;111610;Badajoz;1.238
CLI214;F;No;22;No;Negocios/empresa;<10años;Bajo;4;2002;Millennial;19315;Lugo;2.409
CLI215;F;;94;No;Servicios;+20años;Alto;1;1930;Baby Boomer;83312;Salamanca;955
CLI216;F;Si;54;Si;Médico;+20años;Medio;4;1970;Generación X;21962;Valencia;1.424
CLI217;M;No;20;No;Funcionario;<10años;Bajo;3;2004;Millennial;13516;Melilla;1.719
CLI218;F;Si;57;Si;Médico;+20años;Medio;2;1967;Generación X;44875;Córdoba;1.385
CLI219;M;Si;28;No;Médico;<10años;Medio;2;1996;Millennial;25044;Orense;1.374
CLI220;M;Si;62;No;Ejecutivo;+20años;Alto;2;1962;Baby Boomer;28075;Valladolid;1.639
CLI221;M;No;68;Si;Servicios;+20años;Bajo;1;1956;Baby Boomer;127188;Álava;974
CLI222;F;No;39;;Artista;10-20años;Bajo;3;1985;Millennial;25028;Badajoz;1.123
CLI223;M;Si;31;Si;Ingeniero/Técnicos;<10años;Medio;2;1993;Millennial;23023;Segovia;1.56
CLI224;F;No;31;Si;Artista;<10años;Bajo;3;1993;Millennial;21556;Salamanca;1.468
CLI225;M;No;22;No;Funcionario;<10años;Bajo;5;2002;Millennial;15005;Zaragoza;1.236
CLI226;F;No;30;No;Construcción;<10años;Bajo;1;1994;Millennial;29143;Zaragoza;1.031
CLI227;F;No;62;No;Ingeniero/Técnicos;+20años;Bajo;1;1962;Baby Boomer;69229;Málaga;1.326
CLI228;M;Si;50;Si;Artista;+20años;Medio;4;1974;Generación X;48692;Palencia;0.71995
CLI229;M;No;28;Si;Funcionario;<10años;Bajo;4;1996;Millennial;23938;Granada;1.512
CLI230;M;No;44;No;Negocios/empresa;+20años;Bajo;1;1980;Generación X;47218;Soria;1.077
CLI231;F;Si;28;Si;Funcionario;<10años;Bajo;2;1996;Millennial;19509;Alicante;1.305
CLI232;F;Si;81;No;Servicios;+20años;Alto;2;1943;Baby Boomer;64200;Castellón;1.697
CLI233;F;No;25;No;Funcionario;<10años;Bajo;4;1999;Millennial;30810;Granada;2.927
CLI234;F;Si;74;Si;Servicios;+20años;Alto;2;1950;Baby Boomer;32234;Guadalajara;0.5831
CLI235;M;No;23;No;Funcionario;<10años;Bajo;4;2001;Millennial;18209;Granada;2.133
CLI236;F;No;42;Si;Artista;+20años;Bajo;1;1982;Millennial;50413;Ávila;0.709
CLI237;M;No;31;No;Funcionario;<10años;Bajo;4;1993;Millennial;18631;Salamanca;1.698
CLI238;F;No;35;No;Funcionario;10-20años;Bajo;5;1989;Millennial;23024;Cáceres;1.077
CLI239;F;No;36;Si;Servicios;10-20años;Bajo;4;1988;Millennial;28874;Cáceres;1.307
CLI240;F;Si;62;No;Servicios;+20años;Alto;4;1962;Baby Boomer;60382;Málaga;1.678
CLI241;F;Si;58;Si;Artista;+20años;Bajo;2;1966;Generación X;41277;Castellón;0.6613
CLI242;M;Si;63;No;Ejecutivo;+20años;Alto;5;1961;Baby Boomer;83097;Burgos;1.404
CLI243;F;Si;65;Si;Artista;+20años;Medio;3;1959;Baby Boomer;66869;Valladolid;0.68085
CLI244;F;Si;28;Si;Funcionario;<10años;Alto;4;1996;Millennial;31045;Albacete;2.030
CLI245;M;Si;65;Si;Artista;+20años;Medio;6;1959;Baby Boomer;84463;Cáceres;1.600
CLI246;F;Si;40;Si;Artista;10-20años;Bajo;4;1984;Millennial;81229;Cáceres;1.169
CLI247;M;Si;41;Si;Otros;10-20años;Bajo;2;1983;Millennial;119717;Orense;1.629
CLI248;M;No;24;No;Médico;<10años;Bajo;3;2000;Millennial;20248;Palencia;13.395
CLI249;M;Si;47;Si;Artista;+20años;Bajo;2;1977;Generación X;69591;Teruel;1.424
CLI250;M;Si;45;Si;Artista;+20años;Bajo;2;1979;Generación X;114565;Badajoz;1.583
CLI251;F;No;23;No;Ingeniero/Técnicos;<10años;Bajo;5;2001;Millennial;14508;Segovia;14.085
CLI252;F;No;54;No;Ingeniero/Técnicos;+20años;Bajo;1;1970;Generación X;114342;Santa Cruz de Tenerife;0.64175
CLI253;M;No;42;Si;Médico;+20años;Bajo;1;1982;Millennial;41408;Guipúzcoa;0.893
CLI254;M;Si;52;No;Artista;+20años;Medio;4;1972;Generación X;89663;Ávila;1.619
CLI255;M;Si;77;Si;Servicios;+20años;Alto;3;1947;Baby Boomer;123604;Zamora;1.639
CLI256;F;No;34;No;Ingeniero/Técnicos;10-20años;Bajo;4;1990;Millennial;18455;Ceuta;1.169
CLI257;F;Si;90;No;Servicios;+20años;Medio;2;1934;Baby Boomer;40760;Ciudad Real;1.170
CLI258;F;Si;56;No;Ejecutivo;+20años;Bajo;1;1968;Generación X;122968;Burgos;1.228
CLI259;F;No;46;No;Construcción;+20años;Bajo;1;1978;Generación X;108670;Guadalajara;1.443
CLI260;M;No;42;Si;Artista;+20años;Bajo;3;1982;Millennial;24978;Cuenca;1.33
CLI261;M;Si;20;No;Ejecutivo;<10años;Alto;4;2004;Millennial;21453;Tarragona;1.098
CLI262;M;Si;55;Si;Artista;+20años;Medio;3;1969;Generación X;115574;Palencia;0.60265
CLI263;F;No;51;Si;Médico;+20años;Bajo;1;1973;Generación X;51073;Valladolid;1.502
CLI264;F;Si;79;No;Servicios;+20años;Alto;3;1945;Baby Boomer;32554;Tarragona;994
CLI265;F;No;36;No;Ingeniero/Técnicos;10-20años;Bajo;4;1988;Millennial;26531;La Coruña;1.054
